Zip Code,Median income (dollars)
ZCTA5 02324,100747
ZCTA5 02330,61374
ZCTA5 02332,126889
ZCTA5 02333,102669
ZCTA5 02338,97844
ZCTA5 02339,133922
ZCTA5 02341,100455
ZCTA5 02343,79718
ZCTA5 02346,77455
ZCTA5 02347,109297
ZCTA5 02351,106001
ZCTA5 02356,114177
ZCTA5 02359,119827
ZCTA5 02360,92757
ZCTA5 02364,95197
ZCTA5 02367,107734
ZCTA5 02368,87803
ZCTA5 02370,80783
ZCTA5 02375,102161
ZCTA5 02379,105377
ZCTA5 02382,88932
ZCTA5 02420,198110
ZCTA5 02421,180943
ZCTA5 02445,126094
ZCTA5 02446,99383
ZCTA5 02451,105536
ZCTA5 02452,99747
ZCTA5 02453,87922
ZCTA5 02458,120385
ZCTA5 02459,189589
ZCTA5 02460,126185
ZCTA5 02461,171855
ZCTA5 02462,97344
ZCTA5 02464,123098
ZCTA5 02465,157449
ZCTA5 02466,118333
ZCTA5 02467,150223
ZCTA5 02468,"250,000+"
ZCTA5 02472,100399
ZCTA5 02474,115000
ZCTA5 02476,113978
ZCTA5 02478,140091
ZCTA5 02481,227898
ZCTA5 02482,201548
ZCTA5 02492,184688
ZCTA5 02493,206250
ZCTA5 02494,139770
ZCTA5 02532,73529
ZCTA5 02534,141023
ZCTA5 02535,98354
ZCTA5 02536,72634
ZCTA5 02537,114737
ZCTA5 02538,80515
ZCTA5 02539,78419
ZCTA5 02540,75809
ZCTA5 02542,53108
ZCTA5 02543,82857
ZCTA5 02554,112241
ZCTA5 02556,100543
ZCTA5 02557,90313
ZCTA5 02558,44767
ZCTA5 02559,73011
ZCTA5 02561,146875
ZCTA5 02562,104917
ZCTA5 02563,98497
ZCTA5 02564,112841
ZCTA5 02568,52711
ZCTA5 02571,72100
ZCTA5 02575,98843
ZCTA5 02576,64267
ZCTA5 02601,56646
ZCTA5 02630,115833
ZCTA5 02631,82814
ZCTA5 02632,98852
ZCTA5 02633,81696
ZCTA5 02635,64112
ZCTA5 02637,191477
ZCTA5 02638,86968
ZCTA5 02639,47197
ZCTA5 02642,66996
ZCTA5 02644,89236
ZCTA5 02645,78823
ZCTA5 02646,70000
ZCTA5 02647,82900
ZCTA5 02648,105721
ZCTA5 02649,78309
ZCTA5 02650,82212
ZCTA5 02652,75049
ZCTA5 02653,77318
ZCTA5 02655,88816
ZCTA5 02657,71495
ZCTA5 02659,54167
ZCTA5 02660,65093
ZCTA5 02664,66283
ZCTA5 02666,67928
ZCTA5 02667,82696
ZCTA5 02668,96165
ZCTA5 02670,77500
ZCTA5 02671,78266
ZCTA5 02673,65922
ZCTA5 02675,84404
ZCTA5 02702,100268
ZCTA5 02703,77107
ZCTA5 02713,69167
ZCTA5 02715,100596
ZCTA5 02717,105240
ZCTA5 02718,89385
ZCTA5 02719,75645
ZCTA5 02720,52753
ZCTA5 02721,42973
ZCTA5 02723,44525
ZCTA5 02724,40888
ZCTA5 02725,98459
ZCTA5 02726,88587
ZCTA5 02738,85636
ZCTA5 02739,90747
ZCTA5 02740,47514
ZCTA5 02743,74035
ZCTA5 02744,45628
ZCTA5 02745,62280
ZCTA5 02746,35915
ZCTA5 02747,83459
ZCTA5 02748,89883
ZCTA5 02760,91592
ZCTA5 02762,93388
ZCTA5 02763,93986
ZCTA5 02764,94844
ZCTA5 02766,108435
ZCTA5 02767,107297
ZCTA5 02769,118470
ZCTA5 02770,106327
ZCTA5 02771,94611
ZCTA5 02777,95945
ZCTA5 02779,106515
ZCTA5 02780,59663
ZCTA5 02790,76134
ZCTA5 02791,68750
ZCTA5 02802,103750
ZCTA5 02804,110048
ZCTA5 02806,125187
ZCTA5 02807,72500
ZCTA5 02808,74359
ZCTA5 02809,73992
ZCTA5 02812,122059
ZCTA5 02813,80327
ZCTA5 02814,89795
ZCTA5 02815,176912
ZCTA5 02816,84533
ZCTA5 02817,120484
ZCTA5 02818,106888
ZCTA5 02822,79242
ZCTA5 02825,96787
ZCTA5 02826,92083
ZCTA5 02827,85214
ZCTA5 02828,87409
ZCTA5 02830,100264
ZCTA5 02831,111462
ZCTA5 02832,84935
ZCTA5 02833,89077
ZCTA5 02835,119375
ZCTA5 02836,85978
ZCTA5 02837,105750
ZCTA5 02838,60313
ZCTA5 02839,70755
ZCTA5 02840,67944
ZCTA5 02842,81499
ZCTA5 02852,88193
ZCTA5 02857,90563
ZCTA5 02858,91625
ZCTA5 02859,96308
ZCTA5 02860,46577
ZCTA5 02861,68700
ZCTA5 02863,34689
ZCTA5 02864,97296
ZCTA5 02865,97111
ZCTA5 02871,100019
ZCTA5 02872,41985
ZCTA5 02873,146250
ZCTA5 02874,127563
ZCTA5 02875,107434
ZCTA5 02878,83710
ZCTA5 02879,93262
ZCTA5 02881,101311
ZCTA5 02882,79630
ZCTA5 02885,64182
ZCTA5 02886,71887
ZCTA5 02888,74282
ZCTA5 02889,75622
ZCTA5 02891,78007
ZCTA5 02892,111250
ZCTA5 02893,60813
ZCTA5 02894,72642
ZCTA5 02895,44310
ZCTA5 02896,84787
ZCTA5 02898,67679
ZCTA5 02903,46372
ZCTA5 02904,49146
ZCTA5 02905,43700
ZCTA5 02906,83358
ZCTA5 02907,40212
ZCTA5 02908,56338
ZCTA5 02909,43872
ZCTA5 02910,72960
ZCTA5 02911,66948
ZCTA5 02914,49697
ZCTA5 02915,73041
ZCTA5 02916,86500
ZCTA5 02917,84923
ZCTA5 02919,68955
ZCTA5 02920,68041
ZCTA5 02921,105927
ZCTA5 03031,136221
ZCTA5 03032,110217
ZCTA5 03033,142033
ZCTA5 03034,100196
ZCTA5 03036,133214
ZCTA5 03037,110741
ZCTA5 03038,78114
ZCTA5 03042,86117
ZCTA5 03043,103813
ZCTA5 03044,111984
ZCTA5 03045,95904
ZCTA5 03046,130298
ZCTA5 03047,86625
ZCTA5 03048,86875
ZCTA5 03049,131745
ZCTA5 03051,110156
ZCTA5 03052,113000
ZCTA5 03053,111958
ZCTA5 03054,108276
ZCTA5 03055,74214
ZCTA5 03057,125037
ZCTA5 03060,53169
ZCTA5 03062,88272
ZCTA5 03063,90053
ZCTA5 03064,69957
ZCTA5 03070,135048
ZCTA5 03071,82668
ZCTA5 03076,108223
ZCTA5 03077,76327
ZCTA5 03079,90673
ZCTA5 03082,94803
ZCTA5 03084,81250
ZCTA5 03086,76436
ZCTA5 03087,154032
ZCTA5 03101,49266
ZCTA5 03102,56592
ZCTA5 03103,57681
ZCTA5 03104,68492
ZCTA5 03106,82230
ZCTA5 03109,82926
ZCTA5 03110,135374
ZCTA5 03215,76750
ZCTA5 03216,74826
ZCTA5 03217,47440
ZCTA5 03218,78818
ZCTA5 03220,61515
ZCTA5 03221,74107
ZCTA5 03222,66367
ZCTA5 03223,72059
ZCTA5 03224,99000
ZCTA5 03225,76250
ZCTA5 03226,90217
ZCTA5 03227,156500
ZCTA5 03229,92667
ZCTA5 03230,58462
ZCTA5 03231,81875
ZCTA5 03233,110508
ZCTA5 03234,96840
ZCTA5 03235,58014
ZCTA5 03237,78750
ZCTA5 03238,38125
ZCTA5 03240,66176
ZCTA5 03241,74286
ZCTA5 03242,83538
ZCTA5 03243,81613
ZCTA5 03244,81739
ZCTA5 03245,80238
ZCTA5 03246,55494
ZCTA5 03249,92048
ZCTA5 03251,52619
ZCTA5 03253,54592
ZCTA5 03254,74983
ZCTA5 03255,97991
ZCTA5 03256,67879
ZCTA5 03257,78108
ZCTA5 03258,98542
ZCTA5 03259,69388
ZCTA5 03260,106719
ZCTA5 03261,93672
ZCTA5 03262,58689
ZCTA5 03263,57351
ZCTA5 03264,57775
ZCTA5 03266,60104
ZCTA5 03268,83967
ZCTA5 03269,70550
ZCTA5 03273,137778
ZCTA5 03275,79110
ZCTA5 03276,57355
ZCTA5 03278,68810
ZCTA5 03279,45882
ZCTA5 03280,73929
ZCTA5 03281,95775
ZCTA5 03282,77917
ZCTA5 03284,92188
ZCTA5 03285,74722
ZCTA5 03287,95938
ZCTA5 03290,82802
ZCTA5 03301,69673
ZCTA5 03303,75250
ZCTA5 03304,124904
ZCTA5 03307,75493
ZCTA5 03431,57100
ZCTA5 03440,71012
ZCTA5 03441,31071
ZCTA5 03442,62802
ZCTA5 03443,69308
ZCTA5 03444,85543
ZCTA5 03445,83333
ZCTA5 03446,69180
ZCTA5 03447,68785
ZCTA5 03448,71635
ZCTA5 03449,70833
ZCTA5 03450,83879
ZCTA5 03451,59961
ZCTA5 03452,62747
ZCTA5 03455,69000
ZCTA5 03456,87000
ZCTA5 03457,90208
ZCTA5 03458,95029
ZCTA5 03461,80729
ZCTA5 03462,73727
ZCTA5 03464,76563
ZCTA5 03465,52107
ZCTA5 03466,93177
ZCTA5 03467,93500
ZCTA5 03470,62611
ZCTA5 03561,45073
ZCTA5 03570,39091
ZCTA5 03574,56406
ZCTA5 03576,46071
ZCTA5 03579,53125
ZCTA5 03580,91500
ZCTA5 03581,58245
ZCTA5 03582,42885
ZCTA5 03583,56155
ZCTA5 03584,60774
ZCTA5 03585,58929
ZCTA5 03586,103250
ZCTA5 03588,61406
ZCTA5 03590,42948
ZCTA5 03592,54154
ZCTA5 03593,78542
ZCTA5 03595,60417
ZCTA5 03597,45690
ZCTA5 03598,51687
ZCTA5 03601,68558
ZCTA5 03602,55313
ZCTA5 03603,57522
ZCTA5 03604,161141
ZCTA5 03605,73594
ZCTA5 03607,75417
ZCTA5 03608,69036
ZCTA5 03609,97228
ZCTA5 03740,65893
ZCTA5 03741,73807
ZCTA5 03743,47127
ZCTA5 03745,75552
ZCTA5 03746,89750
ZCTA5 03748,88702
ZCTA5 03750,168467
ZCTA5 03751,34226
ZCTA5 03752,54688
ZCTA5 03753,121779
ZCTA5 03755,97147
ZCTA5 03765,67188
ZCTA5 03766,78210
ZCTA5 03768,128000
ZCTA5 03770,103750
ZCTA5 03771,71379
ZCTA5 03773,66858
ZCTA5 03774,50191
ZCTA5 03777,75833
ZCTA5 03779,83750
ZCTA5 03780,73808
ZCTA5 03781,89224
ZCTA5 03782,88194
ZCTA5 03784,63977
ZCTA5 03785,47178
ZCTA5 03801,80994
ZCTA5 03809,90833
ZCTA5 03810,98858
ZCTA5 03811,112009
ZCTA5 03812,35982
ZCTA5 03813,51811
ZCTA5 03814,38095
ZCTA5 03816,61726
ZCTA5 03817,64894
