"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050082,MSPB-1,1.049896,,07/01/2020,12/31/2020
050084,MSPB-1,0.946779,,07/01/2020,12/31/2020
050089,MSPB-1,0.864939,,07/01/2020,12/31/2020
050090,MSPB-1,1.128839,,07/01/2020,12/31/2020
050091,MSPB-1,1.216870,,07/01/2020,12/31/2020
050093,MSPB-1,0.985852,,07/01/2020,12/31/2020
050096,MSPB-1,1.417268,,07/01/2020,12/31/2020
050099,MSPB-1,1.019750,,07/01/2020,12/31/2020
050100,MSPB-1,0.963939,,07/01/2020,12/31/2020
050101,MSPB-1,0.999501,,07/01/2020,12/31/2020
050102,MSPB-1,1.170491,,07/01/2020,12/31/2020
050103,MSPB-1,1.054605,,07/01/2020,12/31/2020
050104,MSPB-1,1.034342,,07/01/2020,12/31/2020
050107,MSPB-1,0.949651,,07/01/2020,12/31/2020
050108,MSPB-1,1.001455,,07/01/2020,12/31/2020
050110,MSPB-1,1.067023,,07/01/2020,12/31/2020
050112,MSPB-1,1.044624,,07/01/2020,12/31/2020
050113,MSPB-1,N/A,1,07/01/2020,12/31/2020
050115,MSPB-1,1.039305,,07/01/2020,12/31/2020
050116,MSPB-1,1.169187,,07/01/2020,12/31/2020
050118,MSPB-1,0.900786,,07/01/2020,12/31/2020
050121,MSPB-1,0.991382,,07/01/2020,12/31/2020
050122,MSPB-1,0.998047,,07/01/2020,12/31/2020
050124,MSPB-1,1.021491,,07/01/2020,12/31/2020
050125,MSPB-1,1.077819,,07/01/2020,12/31/2020
050126,MSPB-1,1.197176,,07/01/2020,12/31/2020
050127,MSPB-1,0.883643,,07/01/2020,12/31/2020
050128,MSPB-1,1.039886,,07/01/2020,12/31/2020
050129,MSPB-1,1.028340,,07/01/2020,12/31/2020
050131,MSPB-1,1.007338,,07/01/2020,12/31/2020
050132,MSPB-1,1.140489,,07/01/2020,12/31/2020
050133,MSPB-1,0.997206,,07/01/2020,12/31/2020
050135,MSPB-1,1.271438,,07/01/2020,12/31/2020
050136,MSPB-1,0.996316,,07/01/2020,12/31/2020
050137,MSPB-1,N/A,1,07/01/2020,12/31/2020
050138,MSPB-1,N/A,1,07/01/2020,12/31/2020
050139,MSPB-1,N/A,1,07/01/2020,12/31/2020
050140,MSPB-1,1.095134,,07/01/2020,12/31/2020
050145,MSPB-1,0.996164,,07/01/2020,12/31/2020
050149,MSPB-1,0.942547,,07/01/2020,12/31/2020
050150,MSPB-1,0.955054,,07/01/2020,12/31/2020
050152,MSPB-1,1.108349,,07/01/2020,12/31/2020
050158,MSPB-1,1.067631,,07/01/2020,12/31/2020
050159,MSPB-1,1.063437,,07/01/2020,12/31/2020
050167,MSPB-1,1.041879,,07/01/2020,12/31/2020
050168,MSPB-1,1.060269,,07/01/2020,12/31/2020
050169,MSPB-1,0.934259,,07/01/2020,12/31/2020
050174,MSPB-1,0.962035,,07/01/2020,12/31/2020
050179,MSPB-1,0.936033,,07/01/2020,12/31/2020
050180,MSPB-1,1.000045,,07/01/2020,12/31/2020
050191,MSPB-1,1.001246,,07/01/2020,12/31/2020
050192,MSPB-1,N/A,1,07/01/2020,12/31/2020
050194,MSPB-1,0.916464,,07/01/2020,12/31/2020
050195,MSPB-1,0.990546,,07/01/2020,12/31/2020
050197,MSPB-1,0.927736,,07/01/2020,12/31/2020
050204,MSPB-1,0.991073,,07/01/2020,12/31/2020
050211,MSPB-1,1.055244,,07/01/2020,12/31/2020
050222,MSPB-1,0.910860,,07/01/2020,12/31/2020
050224,MSPB-1,0.997929,,07/01/2020,12/31/2020
050226,MSPB-1,1.134072,,07/01/2020,12/31/2020
050228,MSPB-1,0.893384,,07/01/2020,12/31/2020
050230,MSPB-1,1.090680,,07/01/2020,12/31/2020
050231,MSPB-1,0.995686,,07/01/2020,12/31/2020
050232,MSPB-1,0.949852,,07/01/2020,12/31/2020
050234,MSPB-1,0.959823,,07/01/2020,12/31/2020
050235,MSPB-1,1.037815,,07/01/2020,12/31/2020
050236,MSPB-1,1.076399,,07/01/2020,12/31/2020
050238,MSPB-1,1.168170,,07/01/2020,12/31/2020
050239,MSPB-1,1.031751,,07/01/2020,12/31/2020
050242,MSPB-1,1.016157,,07/01/2020,12/31/2020
050243,MSPB-1,1.024309,,07/01/2020,12/31/2020
050245,MSPB-1,0.996187,,07/01/2020,12/31/2020
050248,MSPB-1,1.053004,,07/01/2020,12/31/2020
050254,MSPB-1,0.888972,,07/01/2020,12/31/2020
050257,MSPB-1,1.059058,,07/01/2020,12/31/2020
050261,MSPB-1,0.883166,,07/01/2020,12/31/2020
050262,MSPB-1,1.045311,,07/01/2020,12/31/2020
050272,MSPB-1,0.955622,,07/01/2020,12/31/2020
050276,MSPB-1,0.869415,,07/01/2020,12/31/2020
050278,MSPB-1,1.061309,,07/01/2020,12/31/2020
050279,MSPB-1,0.919265,,07/01/2020,12/31/2020
050280,MSPB-1,1.004289,,07/01/2020,12/31/2020
050281,MSPB-1,1.136764,,07/01/2020,12/31/2020
050283,MSPB-1,1.031325,,07/01/2020,12/31/2020
050289,MSPB-1,0.943576,,07/01/2020,12/31/2020
050290,MSPB-1,1.039369,,07/01/2020,12/31/2020
050291,MSPB-1,0.953661,,07/01/2020,12/31/2020
050292,MSPB-1,1.040865,,07/01/2020,12/31/2020
050295,MSPB-1,1.026969,,07/01/2020,12/31/2020
050298,MSPB-1,N/A,1,07/01/2020,12/31/2020
050300,MSPB-1,0.960630,,07/01/2020,12/31/2020
050301,MSPB-1,0.967732,,07/01/2020,12/31/2020
050305,MSPB-1,1.052943,,07/01/2020,12/31/2020
050308,MSPB-1,1.004044,,07/01/2020,12/31/2020
050309,MSPB-1,0.948068,,07/01/2020,12/31/2020
050313,MSPB-1,0.963663,,07/01/2020,12/31/2020
050315,MSPB-1,0.923269,,07/01/2020,12/31/2020
050320,MSPB-1,1.033923,,07/01/2020,12/31/2020
050324,MSPB-1,0.998648,,07/01/2020,12/31/2020
050327,MSPB-1,1.019975,,07/01/2020,12/31/2020
050329,MSPB-1,N/A,1,07/01/2020,12/31/2020
050334,MSPB-1,1.004164,,07/01/2020,12/31/2020
050335,MSPB-1,0.962652,,07/01/2020,12/31/2020
050336,MSPB-1,0.947914,,07/01/2020,12/31/2020
050342,MSPB-1,0.771291,,07/01/2020,12/31/2020
050348,MSPB-1,0.983516,,07/01/2020,12/31/2020
050350,MSPB-1,1.030336,,07/01/2020,12/31/2020
050351,MSPB-1,0.940988,,07/01/2020,12/31/2020
050352,MSPB-1,0.837939,,07/01/2020,12/31/2020
050353,MSPB-1,0.950092,,07/01/2020,12/31/2020
050357,MSPB-1,0.982349,,07/01/2020,12/31/2020
050360,MSPB-1,0.981626,,07/01/2020,12/31/2020
050367,MSPB-1,0.983957,,07/01/2020,12/31/2020
050373,MSPB-1,0.672699,,07/01/2020,12/31/2020
050376,MSPB-1,0.869023,,07/01/2020,12/31/2020
050378,MSPB-1,1.103824,,07/01/2020,12/31/2020
050380,MSPB-1,1.031100,,07/01/2020,12/31/2020
050382,MSPB-1,1.129574,,07/01/2020,12/31/2020
050390,MSPB-1,1.053790,,07/01/2020,12/31/2020
050393,MSPB-1,0.904069,,07/01/2020,12/31/2020
050394,MSPB-1,1.012441,,07/01/2020,12/31/2020
050396,MSPB-1,1.009703,,07/01/2020,12/31/2020
050407,MSPB-1,0.956176,,07/01/2020,12/31/2020
050411,MSPB-1,N/A,1,07/01/2020,12/31/2020
050414,MSPB-1,0.985993,,07/01/2020,12/31/2020
050417,MSPB-1,0.958754,,07/01/2020,12/31/2020
050423,MSPB-1,N/A,1,07/01/2020,12/31/2020
050424,MSPB-1,0.955896,,07/01/2020,12/31/2020
050425,MSPB-1,0.804191,,07/01/2020,12/31/2020
050426,MSPB-1,1.063471,,07/01/2020,12/31/2020
050438,MSPB-1,0.977704,,07/01/2020,12/31/2020
050441,MSPB-1,1.018731,,07/01/2020,12/31/2020
050444,MSPB-1,0.938544,,07/01/2020,12/31/2020
050454,MSPB-1,1.004040,,07/01/2020,12/31/2020
050455,MSPB-1,1.034528,,07/01/2020,12/31/2020
050457,MSPB-1,0.962188,,07/01/2020,12/31/2020
050464,MSPB-1,0.990216,,07/01/2020,12/31/2020
050468,MSPB-1,1.109804,,07/01/2020,12/31/2020
050471,MSPB-1,1.100176,,07/01/2020,12/31/2020
050481,MSPB-1,1.051992,,07/01/2020,12/31/2020
050485,MSPB-1,1.063752,,07/01/2020,12/31/2020
050488,MSPB-1,1.023804,,07/01/2020,12/31/2020
050492,MSPB-1,1.060148,,07/01/2020,12/31/2020
050496,MSPB-1,0.949681,,07/01/2020,12/31/2020
050498,MSPB-1,0.894003,,07/01/2020,12/31/2020
050503,MSPB-1,0.914491,,07/01/2020,12/31/2020
050506,MSPB-1,0.926490,,07/01/2020,12/31/2020
050510,MSPB-1,N/A,1,07/01/2020,12/31/2020
050512,MSPB-1,N/A,1,07/01/2020,12/31/2020
050515,MSPB-1,N/A,1,07/01/2020,12/31/2020
050516,MSPB-1,0.959332,,07/01/2020,12/31/2020
050517,MSPB-1,1.083799,,07/01/2020,12/31/2020
050523,MSPB-1,0.976325,,07/01/2020,12/31/2020
050526,MSPB-1,1.168935,,07/01/2020,12/31/2020
050528,MSPB-1,1.060102,,07/01/2020,12/31/2020
050534,MSPB-1,0.982959,,07/01/2020,12/31/2020
050537,MSPB-1,0.805445,,07/01/2020,12/31/2020
050541,MSPB-1,N/A,1,07/01/2020,12/31/2020
050543,MSPB-1,N/A,1,07/01/2020,12/31/2020
050546,MSPB-1,N/A,1,07/01/2020,12/31/2020
050549,MSPB-1,1.017828,,07/01/2020,12/31/2020
050551,MSPB-1,0.995916,,07/01/2020,12/31/2020
050557,MSPB-1,0.971960,,07/01/2020,12/31/2020
050561,MSPB-1,N/A,1,07/01/2020,12/31/2020
050567,MSPB-1,1.010343,,07/01/2020,12/31/2020
050568,MSPB-1,0.904941,,07/01/2020,12/31/2020
050570,MSPB-1,1.080437,,07/01/2020,12/31/2020
050573,MSPB-1,0.993804,,07/01/2020,12/31/2020
050580,MSPB-1,0.985645,,07/01/2020,12/31/2020
050581,MSPB-1,1.101511,,07/01/2020,12/31/2020
050586,MSPB-1,0.914142,,07/01/2020,12/31/2020
050588,MSPB-1,1.193808,,07/01/2020,12/31/2020
050589,MSPB-1,0.975324,,07/01/2020,12/31/2020
050590,MSPB-1,0.958984,,07/01/2020,12/31/2020
050597,MSPB-1,1.255372,,07/01/2020,12/31/2020
050599,MSPB-1,0.981757,,07/01/2020,12/31/2020
050603,MSPB-1,1.031130,,07/01/2020,12/31/2020
050604,MSPB-1,N/A,1,07/01/2020,12/31/2020
050608,MSPB-1,0.874151,,07/01/2020,12/31/2020
050609,MSPB-1,N/A,1,07/01/2020,12/31/2020
050624,MSPB-1,1.046756,,07/01/2020,12/31/2020
050625,MSPB-1,1.088043,,07/01/2020,12/31/2020
050633,MSPB-1,0.902645,,07/01/2020,12/31/2020
050636,MSPB-1,1.005630,,07/01/2020,12/31/2020
050641,MSPB-1,N/A,1,07/01/2020,12/31/2020
050663,MSPB-1,1.275819,,07/01/2020,12/31/2020
050668,MSPB-1,N/A,1,07/01/2020,12/31/2020
050674,MSPB-1,0.888326,,07/01/2020,12/31/2020
050677,MSPB-1,N/A,1,07/01/2020,12/31/2020
050678,MSPB-1,0.973672,,07/01/2020,12/31/2020
050684,MSPB-1,0.922755,,07/01/2020,12/31/2020
050686,MSPB-1,N/A,1,07/01/2020,12/31/2020
050689,MSPB-1,1.025795,,07/01/2020,12/31/2020
050690,MSPB-1,N/A,1,07/01/2020,12/31/2020
050696,MSPB-1,0.975765,,07/01/2020,12/31/2020
050697,MSPB-1,N/A,1,07/01/2020,12/31/2020
050701,MSPB-1,0.788650,,07/01/2020,12/31/2020
050704,MSPB-1,1.217406,,07/01/2020,12/31/2020
050708,MSPB-1,0.920448,,07/01/2020,12/31/2020
050709,MSPB-1,0.912444,,07/01/2020,12/31/2020
050710,MSPB-1,N/A,1,07/01/2020,12/31/2020
050714,MSPB-1,N/A,1,07/01/2020,12/31/2020
050717,MSPB-1,N/A,1,07/01/2020,12/31/2020
050723,MSPB-1,N/A,1,07/01/2020,12/31/2020
050724,MSPB-1,1.020391,,07/01/2020,12/31/2020
050726,MSPB-1,0.894433,,07/01/2020,12/31/2020
050735,MSPB-1,1.210821,,07/01/2020,12/31/2020
050736,MSPB-1,0.953838,,07/01/2020,12/31/2020
050737,MSPB-1,1.140487,,07/01/2020,12/31/2020
050738,MSPB-1,1.477925,,07/01/2020,12/31/2020
050739,MSPB-1,1.013658,,07/01/2020,12/31/2020
050740,MSPB-1,1.017367,,07/01/2020,12/31/2020
050742,MSPB-1,1.197345,,07/01/2020,12/31/2020
050744,MSPB-1,N/A,1,07/01/2020,12/31/2020
050745,MSPB-1,N/A,1,07/01/2020,12/31/2020
050746,MSPB-1,0.968508,,07/01/2020,12/31/2020
050747,MSPB-1,1.325952,,07/01/2020,12/31/2020
050748,MSPB-1,N/A,1,07/01/2020,12/31/2020
050755,MSPB-1,1.164384,,07/01/2020,12/31/2020
050757,MSPB-1,1.022667,,07/01/2020,12/31/2020
050758,MSPB-1,1.034788,,07/01/2020,12/31/2020
050760,MSPB-1,N/A,1,07/01/2020,12/31/2020
050761,MSPB-1,1.052263,,07/01/2020,12/31/2020
050763,MSPB-1,1.423137,,07/01/2020,12/31/2020
050764,MSPB-1,0.940294,,07/01/2020,12/31/2020
050765,MSPB-1,N/A,1,07/01/2020,12/31/2020
050766,MSPB-1,1.089021,,07/01/2020,12/31/2020
050767,MSPB-1,N/A,1,07/01/2020,12/31/2020
050769,MSPB-1,0.982135,,07/01/2020,12/31/2020
050770,MSPB-1,1.052573,,07/01/2020,12/31/2020
050771,MSPB-1,1.284791,,07/01/2020,12/31/2020
